,tconst,isAdult,startYear,runtimeMinutes,genre_1,genre_2,genre_3,directors,title,averageRating,numVotes,primaryName
5865,tt0080616,0,1980,152,Drama,History,War,nm0761762,Allemagne mère blafarde,7.2,802,Helma Sanders-Brahms
5866,tt0087275,0,1984,116,Drama,,,nm0761762,L'avenir d'Émilie,6.7,49,Helma Sanders-Brahms
5867,tt0073857,0,1975,85,Drama,,,nm0376290,Verbrande brug,5.5,109,Guido Henderickx
5868,tt0073859,0,1976,92,Drama,,,nm0750365,Une vie gâchée,7.2,23,Ottokar Runze
5869,tt0073875,0,1976,74,Comedy,Crime,,nm0496312,Les vécés étaient fermés de l'intérieur,5.3,511,Patrice Leconte
5870,tt0077276,0,1978,105,Comedy,Romance,,nm0496312,Les bronzés,6.7,7328,Patrice Leconte
5871,tt0078907,0,1979,90,Comedy,,,nm0496312,Les bronzés font du ski,7.4,8634,Patrice Leconte
5872,tt0082690,0,1982,85,Comedy,,,nm0496312,Ma femme s'appelle reviens,5.5,467,Patrice Leconte
5873,tt0083287,0,1981,85,Comedy,,,nm0496312,"Viens chez moi, j'habite chez une copine",6.3,1408,Patrice Leconte
5874,tt0085341,0,1983,84,Comedy,,,nm0496312,"Move Along, There is Nothing to See",5.2,416,Patrice Leconte
5875,tt0088167,0,1985,94,Adventure,Crime,,nm0496312,Les spécialistes,6.4,1094,Patrice Leconte
5876,tt0094105,0,1987,86,Comedy,Drama,,nm0496312,Tandem,7.0,1259,Patrice Leconte
5877,tt0097904,0,1989,81,Crime,Drama,Romance,nm0496312,Monsieur Hire,7.5,6846,Patrice Leconte
5878,tt0100112,0,1990,82,Comedy,Drama,Romance,nm0496312,Le mari de la coiffeuse,7.2,10028,Patrice Leconte
5879,tt0073880,0,1975,109,Action,Biography,Crime,nm0068691,Justice sauvage 2 - la revanche,6.0,1425,Earl Bellamy
5880,tt0076746,0,1977,113,Action,Crime,Drama,nm0068691,La folle cavale,5.5,220,Earl Bellamy
5881,tt0073882,0,1973,89,Horror,Thriller,,nm9744524,Warlock Moon,5.3,492,William Herbert
5882,tt0073906,0,1975,119,Action,Adventure,Drama,nm0587518,Le Lion et le Vent,6.8,9685,John Milius
5883,tt0077235,0,1978,120,Drama,Sport,,nm0587518,Graffiti Party,7.1,6953,John Milius
5884,tt0082198,0,1982,129,Action,Adventure,Fantasy,nm0587518,Conan le barbare,6.9,153927,John Milius
5885,tt0087985,0,1984,114,Action,Drama,Thriller,nm0587518,L'Aube rouge,6.3,59714,John Milius
5886,tt0097334,0,1989,117,Action,Adventure,Drama,nm0587518,L'adieu au roi,6.3,2940,John Milius
5887,tt0073911,0,1975,95,Biography,Drama,War,nm0002206,Winstanley,7.1,363,Kevin Brownlow
